frame,id,label,conf,center_x,center_y
70,7,person,0.5995597839355469,630,250
70,3,person,0.592546284198761,496,293
70,12,person,0.5506502389907837,41,173
71,16,person,0.9360106587409973,83,348
71,1,person,0.8453863263130188,809,407
71,9,person,0.8268434405326843,170,159
71,12,person,0.7846028208732605,85,200
71,15,person,0.7822269201278687,681,221
71,12,person,0.719451904296875,41,185
71,7,person,0.6254952549934387,633,249
71,20,person,0.5979703664779663,57,130
71,8,person,0.5380693078041077,612,176
71,2,person,0.5024834871292114,548,169
72,16,person,0.9345397353172302,85,349
72,1,person,0.8607708811759949,809,410
72,15,person,0.8134433031082153,684,220
72,9,person,0.8102520704269409,169,160
72,12,person,0.771030604839325,82,199
72,12,person,0.7601243853569031,41,185
72,7,person,0.6656211018562317,636,249
72,20,person,0.6513563990592957,56,132
72,8,person,0.612252950668335,611,176
72,8,handbag,0.5257090330123901,630,162
72,2,person,0.5055828094482422,547,170
73,16,person,0.9299366474151611,87,349
73,1,person,0.8647477030754089,809,412
73,15,person,0.8125323057174683,689,220
73,9,person,0.7914681434631348,171,160
73,12,person,0.777347207069397,83,200
73,12,person,0.7257655262947083,39,185
73,7,person,0.7071444988250732,637,248
73,8,person,0.623520016670227,611,175
73,20,person,0.6194820404052734,54,132
73,2,person,0.5652889609336853,547,170
73,8,handbag,0.5469589829444885,630,162
73,11,person,0.5370336174964905,299,250
74,16,person,0.9217374324798584,88,349
74,1,person,0.8269839882850647,809,412
74,15,person,0.821454644203186,691,220
74,9,person,0.818189263343811,175,159
74,12,person,0.7831406593322754,84,200
74,7,person,0.7313247323036194,639,247
74,12,person,0.7152274250984192,37,179
74,8,person,0.6173837780952454,611,175
74,2,person,0.5817200541496277,546,171
74,8,handbag,0.5533349514007568,630,162
75,16,person,0.9205448627471924,89,350
75,1,person,0.8514119982719421,813,415
75,15,person,0.8340929746627808,695,219
75,9,person,0.8131974339485168,176,160
75,12,person,0.7794678211212158,84,200
75,7,person,0.718001663684845,641,246
75,18,person,0.6374887824058533,34,179
75,3,person,0.5743274688720703,500,294
75,2,person,0.5523170232772827,547,171
75,8,person,0.5018160343170166,611,176
76,16,person,0.9194786548614502,91,349
76,15,person,0.8429983258247375,697,219
76,9,person,0.8005284667015076,180,160
76,12,person,0.7707033157348633,84,198
76,1,person,0.7445385456085205,814,417
76,7,person,0.7211121916770935,643,247
76,18,person,0.6116663813591003,31,180
76,8,person,0.6024894118309021,610,175
76,8,handbag,0.5612843036651611,631,162
76,2,person,0.5391534566879272,547,171
77,16,person,0.9238719940185547,93,348
77,15,person,0.7971958518028259,700,219
77,9,person,0.7841253876686096,181,160
77,1,person,0.770025372505188,816,419
77,12,person,0.7523771524429321,84,197
77,7,person,0.6679314970970154,644,246
77,18,person,0.5821898579597473,27,181
77,3,person,0.5545588731765747,501,294
77,8,person,0.5531049966812134,611,175
77,8,handbag,0.5449528694152832,631,162
77,2,person,0.5025017261505127,547,171
78,16,person,0.9293412566184998,94,349
78,15,person,0.8181714415550232,703,218
78,1,person,0.786363959312439,815,420
78,9,person,0.7460737228393555,185,159
78,12,person,0.7272624373435974,84,195
78,7,person,0.6664746999740601,645,245
78,8,person,0.5651233792304993,611,176
78,8,handbag,0.560451865196228,631,162
78,11,person,0.5365431308746338,292,249
78,3,person,0.5340094566345215,501,293
78,2,person,0.5255582332611084,547,172
78,18,person,0.5042123198509216,23,186
